text,created_at,retweet_count,favorite_count,is_retweet,id_str
Thank you to all of my great Keyboard Warriors. You are better and far more brilliant than anyone on Madison Avenue (Ad Agencies). There is nobody like you!,5/15/20 2:47,65438,284998,FALSE,1.26113E+18
Thank you. My great honor! https://t.co/lhV5VjJEoT,5/15/20 2:15,12929,58826,FALSE,1.26112E+18
Thanks. You are very cool! https://t.co/K789oTR0uM,5/15/20 2:13,35333,140091,FALSE,1.26112E+18
Great work @Owens_Minor! On behalf of the American People THANK YOU! https://t.co/NEulBS70bz https://t.co/PmB81mn8JL,5/14/20 23:41,12479,46977,FALSE,1.26108E+18
Just landed in Pennsylvania see everyone soon! https://t.co/RUAfkv1cOs,5/14/20 17:37,12719,59865,FALSE,1.26099E+18
On my way see you soon! https://t.co/Ava0nf3Eqq,5/14/20 17:26,9008,49063,FALSE,1.26098E+18
On my way to PENNSYLVANIA! https://t.co/knZn9xcwix,5/14/20 17:11,13438,83160,FALSE,1.26098E+18
https://t.co/AMtNByOrL5,5/14/20 15:40,15182,53955,FALSE,1.26096E+18
I am proud to announce the first $500M of $3.9B in CARES Act transit funding headed to the NY Metropolitan Transportation Authority. Important funding to keep transit systems clean and operating to get people back to work! Spend it wisely! @NYGovCuomo @NYCMayor,5/14/20 15:15,15547,67516,FALSE,1.26095E+18
If I were a Senator or Congressman the first person I would call to testify about the biggest political crime and scandal in the history of the USA by FAR is former President Obama. He knew EVERYTHING. Do it @LindseyGrahamSC just do it. No more Mr. Nice Guy. No more talk!,5/14/20 14:21,59492,186249,FALSE,1.26094E+18
Good numbers coming out of States that are opening. America is getting its life back! Vaccine work is looking VERY promising before end of year. Likewise other solutions!,5/14/20 13:07,29159,153152,FALSE,1.26092E+18
22-O in my endorsements of Congressional Candidates this season. California &amp; Wisconsin won big on Tuesday. Thank you to all of those very brilliant Voters. You will not be disappointed!,5/14/20 12:44,24333,112438,FALSE,1.26091E+18
I don't know the so-called Whistleblower Rick Bright never met him or even heard of him but to me he is a disgruntled employee not liked or respected by people I spoke to and who with his attitude should no longer be working for our government!,5/14/20 12:37,28293,133625,FALSE,1.26091E+18
The Great State of Wisconsin home to Tom Tiffany's big Congressional Victory on Tuesday was just given another win. Its Democrat Governor was forced by the courts to let the State Open. The people want to get on with their lives. The place is bustling!,5/14/20 12:11,26548,110127,FALSE,1.26091E+18
OBAMAGATE!,5/14/20 0:57,99699,392228,FALSE,1.26074E+18
Proud of Mike! https://t.co/g1HvItV79N,5/14/20 0:56,18044,82638,FALSE,1.26074E+18
